"match_id","match_date","A_id","B_id","y","dRank","dDecay","wWR_A","wWR_B","dW"
18,2024-01-01,126106,202195,0,53,1,0.25,0.375,-0.125
19,2024-01-01,106121,123828,1,-85,1,0.5,0.5,0
19,2024-01-01,123828,106121,0,85,1,0.25,0.75,-0.5
20,2024-01-01,144817,202261,1,26,1,0.5,0.5,0
20,2024-01-01,202261,144817,0,-26,1,0.25,0.75,-0.5
21,2024-01-01,106281,208882,1,-76,1,0.5,0.5,0
21,2024-01-01,208882,106281,0,76,1,0.25,0.75,-0.5
22,2024-01-01,126964,209279,1,25,1,0.5,0.5,0
22,2024-01-01,209279,126964,0,-25,1,0.25,0.75,-0.5
23,2024-01-01,123828,200267,1,31,1,0.166666666666667,0.5,-0.333333333333333
23,2024-01-01,200267,123828,0,-31,1,0.25,0.375,-0.125
24,2024-01-01,202261,144719,1,82,1,0.166666666666667,0.5,-0.333333333333333
24,2024-01-01,144719,202261,0,-82,1,0.25,0.375,-0.125
25,2024-01-01,144817,200647,1,45,1,0.833333333333333,0.5,0.333333333333333
25,2024-01-01,200647,144817,0,-45,1,0.25,0.875,-0.625
26,2024-01-01,106281,144826,1,-126,1,0.833333333333333,0.5,0.333333333333333
26,2024-01-01,144826,106281,0,126,1,0.25,0.875,-0.625
27,2024-01-01,208882,106167,1,39,1,0.166666666666667,0.5,-0.333333333333333
27,2024-01-01,106167,208882,0,-39,1,0.25,0.375,-0.125
28,2024-01-01,126964,200436,1,42,1,0.833333333333333,0.5,0.333333333333333
28,2024-01-01,200436,126964,0,-42,1,0.25,0.875,-0.625
29,2024-01-01,209279,138846,1,-1323,1,0.166666666666667,0.5,-0.333333333333333
29,2024-01-01,138846,209279,0,1323,1,0.25,0.375,-0.125
1317,2024-01-01,136440,210150,1,-90,1,0.5,0.5,0
1317,2024-01-01,210150,136440,0,90,1,0.25,0.75,-0.5
1318,2024-01-01,136440,209113,1,-62,1,0.833333333333333,0.5,0.333333333333333
1318,2024-01-01,209113,136440,0,62,1,0.25,0.875,-0.625
1319,2024-01-01,210150,206909,1,33,1,0.166666666666667,0.5,-0.333333333333333
1319,2024-01-01,206909,210150,0,-33,1,0.25,0.375,-0.125
1320,2024-01-01,136440,105676,1,-34,1,0.9,0.5,0.4
1320,2024-01-01,105676,136440,0,34,1,0.25,0.916666666666667,-0.666666666666667
1321,2024-01-01,209113,209263,1,-42,1,0.166666666666667,0.5,-0.333333333333333
1321,2024-01-01,209263,209113,0,42,1,0.25,0.375,-0.125
1322,2024-01-01,210150,106310,1,-54,1,0.5,0.5,0
1322,2024-01-01,106310,210150,0,54,1,0.25,0.583333333333333,-0.333333333333333
1323,2024-01-01,206909,209262,1,-126,1,0.166666666666667,0.5,-0.333333333333333
1323,2024-01-01,209262,206909,0,126,1,0.25,0.375,-0.125
1324,2024-01-01,136440,131934,1,-80,1,0.928571428571429,0.5,0.428571428571429
1324,2024-01-01,131934,136440,0,80,1,0.25,0.9375,-0.6875
1325,2024-01-01,105676,144750,1,-29,1,0.166666666666667,0.5,-0.333333333333333
1325,2024-01-01,144750,105676,0,29,1,0.25,0.375,-0.125
1326,2024-01-01,209113,200484,1,-62,1,0.5,0.5,0
1326,2024-01-01,200484,209113,0,62,1,0.25,0.583333333333333,-0.333333333333333
1327,2024-01-01,209263,211727,1,-927,1,0.166666666666667,0.5,-0.333333333333333
1327,2024-01-01,211727,209263,0,927,1,0.25,0.375,-0.125
1328,2024-01-01,210150,106187,1,-23,1,0.642857142857143,0.5,0.142857142857143
1328,2024-01-01,106187,210150,0,23,1,0.25,0.6875,-0.4375
1329,2024-01-01,106310,106000,1,67,1,0.166666666666667,0.5,-0.333333333333333
1329,2024-01-01,106000,106310,0,-67,1,0.25,0.375,-0.125
1330,2024-01-01,209262,111581,1,155,1,0.166666666666667,0.5,-0.333333333333333
1330,2024-01-01,111581,209262,0,-155,1,0.25,0.375,-0.125
1331,2024-01-01,206909,209976,1,-44,1,0.5,0.5,0
1331,2024-01-01,209976,206909,0,44,1,0.25,0.583333333333333,-0.333333333333333
1332,2024-01-01,136440,208260,1,-65,1,0.944444444444444,0.5,0.444444444444444
1332,2024-01-01,208260,136440,0,65,1,0.25,0.95,-0.7
1333,2024-01-01,131934,111576,1,19,1,0.166666666666667,0.5,-0.333333333333333
1333,2024-01-01,111576,131934,0,-19,1,0.25,0.375,-0.125
1334,2024-01-01,144750,209209,1,-6,1,0.166666666666667,0.5,-0.333333333333333
1334,2024-01-01,209209,144750,0,6,1,0.25,0.375,-0.125
1335,2024-01-01,105676,200443,1,-65,1,0.5,0.5,0
1335,2024-01-01,200443,105676,0,65,1,0.25,0.583333333333333,-0.333333333333333
1336,2024-01-01,200484,207680,1,106,1,0.166666666666667,0.5,-0.333333333333333
1336,2024-01-01,207680,200484,0,-106,1,0.25,0.375,-0.125
1337,2024-01-01,209113,207678,1,19,1,0.642857142857143,0.5,0.142857142857143
1337,2024-01-01,207678,209113,0,-19,1,0.25,0.6875,-0.4375
1338,2024-01-01,209263,207182,1,34,1,0.5,0.5,0
1338,2024-01-01,207182,209263,0,-34,1,0.25,0.583333333333333,-0.333333333333333
1339,2024-01-01,211727,208134,1,990,1,0.166666666666667,0.5,-0.333333333333333
1339,2024-01-01,208134,211727,0,-990,1,0.25,0.375,-0.125
1340,2024-01-01,106187,144684,1,71,1,0.166666666666667,0.5,-0.333333333333333
1340,2024-01-01,144684,106187,0,-71,1,0.25,0.375,-0.125
1341,2024-01-01,210150,133975,1,16,1,0.722222222222222,0.5,0.222222222222222
1341,2024-01-01,133975,210150,0,-16,1,0.25,0.75,-0.5
1342,2024-01-01,106310,106210,1,-71,1,0.5,0.5,0
1342,2024-01-01,106210,106310,0,71,1,0.25,0.583333333333333,-0.333333333333333
1343,2024-01-01,106000,126239,1,58,1,0.166666666666667,0.5,-0.333333333333333
1343,2024-01-01,126239,106000,0,-58,1,0.25,0.375,-0.125
1344,2024-01-01,111581,207213,1,-38,1,0.166666666666667,0.5,-0.333333333333333
1344,2024-01-01,207213,111581,0,38,1,0.25,0.375,-0.125
1345,2024-01-01,209262,211315,1,-1129,1,0.5,0.5,0
1345,2024-01-01,211315,209262,0,1129,1,0.25,0.583333333333333,-0.333333333333333
1346,2024-01-01,209976,105430,1,47,1,0.166666666666667,0.5,-0.333333333333333
1346,2024-01-01,105430,209976,0,-47,1,0.25,0.375,-0.125
1347,2024-01-01,206909,124186,1,53,1,0.642857142857143,0.5,0.142857142857143
1347,2024-01-01,124186,206909,0,-53,1,0.25,0.6875,-0.4375
1348,2024-01-01,131934,209406,1,-38,1,0.5,0.5,0
1348,2024-01-01,209406,131934,0,38,1,0.25,0.583333333333333,-0.333333333333333
1349,2024-01-01,200484,106109,1,-127,1,0.5,0.5,0
1349,2024-01-01,106109,200484,0,127,1,0.25,0.583333333333333,-0.333333333333333
1350,2024-01-01,209263,202354,1,-275,1,0.642857142857143,0.5,0.142857142857143
1350,2024-01-01,202354,209263,0,275,1,0.25,0.6875,-0.4375
1351,2024-01-01,211315,207608,1,1167,1,0.166666666666667,0.5,-0.333333333333333
1351,2024-01-01,207608,211315,0,-1167,1,0.25,0.375,-0.125
1352,2024-01-01,106310,209405,1,34,1,0.642857142857143,0.5,0.142857142857143
1352,2024-01-01,209405,106310,0,-34,1,0.25,0.6875,-0.4375
1353,2024-01-01,106187,123983,1,-27,1,0.5,0.5,0
1353,2024-01-01,123983,106187,0,27,1,0.25,0.583333333333333,-0.333333333333333
1354,2024-01-01,131934,210468,1,-569,1,0.642857142857143,0.5,0.142857142857143
1354,2024-01-01,210468,131934,0,569,1,0.25,0.6875,-0.4375
1355,2024-01-01,209406,210436,1,-1122,1,0.166666666666667,0.5,-0.333333333333333
1355,2024-01-01,210436,209406,0,1122,1,0.25,0.375,-0.125
1356,2024-01-01,106109,208010,1,170,1,0.166666666666667,0.5,-0.333333333333333
1356,2024-01-01,208010,106109,0,-170,1,0.25,0.375,-0.125
1357,2024-01-01,200484,200039,1,-730,1,0.642857142857143,0.5,0.142857142857143
1357,2024-01-01,200039,200484,0,730,1,0.25,0.6875,-0.4375
1358,2024-01-01,209263,210399,1,-572,1,0.722222222222222,0.5,0.222222222222222
1358,2024-01-01,210399,209263,0,572,1,0.25,0.75,-0.5
1359,2024-01-01,202354,208353,1,233,1,0.166666666666667,0.5,-0.333333333333333
1359,2024-01-01,208353,202354,0,-233,1,0.25,0.375,-0.125
1360,2024-01-01,211315,132134,1,231,1,0.5,0.5,0
1360,2024-01-01,132134,211315,0,-231,1,0.25,0.583333333333333,-0.333333333333333
1361,2024-01-01,209405,210696,1,-163,1,0.166666666666667,0.5,-0.333333333333333
1361,2024-01-01,210696,209405,0,163,1,0.25,0.375,-0.125
1362,2024-01-01,106187,106291,1,-116,1,0.642857142857143,0.5,0.142857142857143
1362,2024-01-01,106291,106187,0,116,1,0.25,0.6875,-0.4375
1363,2024-01-01,123983,125804,1,-544,1,0.166666666666667,0.5,-0.333333333333333
1363,2024-01-01,125804,123983,0,544,1,0.25,0.375,-0.125
1364,2024-01-01,200473,106298,1,-49,1,0.5,0.5,0
1364,2024-01-01,106298,200473,0,49,1,0.25,0.75,-0.5
1365,2024-01-01,106298,111805,1,56,1,0.166666666666667,0.5,-0.333333333333333
1365,2024-01-01,111805,106298,0,-56,1,0.25,0.375,-0.125
1366,2024-01-01,200473,200318,1,72,1,0.833333333333333,0.5,0.333333333333333
1366,2024-01-01,200318,200473,0,-72,1,0.25,0.875,-0.625
1367,2024-01-01,106298,206904,1,98,1,0.5,0.5,0
1367,2024-01-01,206904,106298,0,-98,1,0.25,0.583333333333333,-0.333333333333333
1368,2024-01-01,111805,129911,1,-110,1,0.166666666666667,0.5,-0.333333333333333
1368,2024-01-01,129911,111805,0,110,1,0.25,0.375,-0.125
1369,2024-01-01,200473,208859,1,80,1,0.9,0.5,0.4
1369,2024-01-01,208859,200473,0,-80,1,0.25,0.916666666666667,-0.666666666666667
1370,2024-01-01,200318,200587,1,-55,1,0.166666666666667,0.5,-0.333333333333333
1370,2024-01-01,200587,200318,0,55,1,0.25,0.375,-0.125
1371,2024-01-01,206904,105539,1,-20,1,0.166666666666667,0.5,-0.333333333333333
1371,2024-01-01,105539,206904,0,20,1,0.25,0.375,-0.125
1372,2024-01-01,106298,210382,1,-313,1,0.642857142857143,0.5,0.142857142857143
1372,2024-01-01,210382,106298,0,313,1,0.25,0.6875,-0.4375
1373,2024-01-01,111805,210136,1,67,1,0.5,0.5,0
1373,2024-01-01,210136,111805,0,-67,1,0.25,0.583333333333333,-0.333333333333333
1374,2024-01-01,129911,106293,1,197,1,0.166666666666667,0.5,-0.333333333333333
1374,2024-01-01,106293,129911,0,-197,1,0.25,0.375,-0.125
1375,2024-01-01,200473,106362,1,41,1,0.928571428571429,0.5,0.428571428571429
1375,2024-01-01,106362,200473,0,-41,1,0.25,0.9375,-0.6875
1376,2024-01-01,208859,123809,1,20,1,0.166666666666667,0.5,-0.333333333333333
1376,2024-01-01,123809,208859,0,-20,1,0.25,0.375,-0.125
1377,2024-01-01,200318,202358,1,-90,1,0.5,0.5,0
1377,2024-01-01,202358,200318,0,90,1,0.25,0.583333333333333,-0.333333333333333
1378,2024-01-01,200587,144645,1,89,1,0.166666666666667,0.5,-0.333333333333333
1378,2024-01-01,144645,200587,0,-89,1,0.25,0.375,-0.125
1379,2024-01-01,105539,110602,1,86,1,0.166666666666667,0.5,-0.333333333333333
1379,2024-01-01,110602,105539,0,-86,1,0.25,0.375,-0.125
1380,2024-01-01,206904,106034,1,-38,1,0.5,0.5,0
1380,2024-01-01,106034,206904,0,38,1,0.25,0.583333333333333,-0.333333333333333
1381,2024-01-01,106298,123819,1,105,1,0.722222222222222,0.5,0.222222222222222
1381,2024-01-01,123819,106298,0,-105,1,0.25,0.75,-0.5
1382,2024-01-01,210382,106065,1,444,1,0.166666666666667,0.5,-0.333333333333333
1382,2024-01-01,106065,210382,0,-444,1,0.25,0.375,-0.125
1383,2024-01-01,210136,208233,1,29,1,0.166666666666667,0.5,-0.333333333333333
1383,2024-01-01,208233,210136,0,-29,1,0.25,0.375,-0.125
1384,2024-01-01,111805,105732,1,36,1,0.642857142857143,0.5,0.142857142857143
1384,2024-01-01,105732,111805,0,-36,1,0.25,0.6875,-0.4375
1385,2024-01-01,129911,105815,1,124,1,0.5,0.5,0
1385,2024-01-01,105815,129911,0,-124,1,0.25,0.583333333333333,-0.333333333333333
1386,2024-01-01,106293,131911,1,-64,1,0.166666666666667,0.5,-0.333333333333333
1386,2024-01-01,131911,106293,0,64,1,0.25,0.375,-0.125
1387,2024-01-01,106362,105882,1,46,1,0.166666666666667,0.5,-0.333333333333333
1387,2024-01-01,105882,106362,0,-46,1,0.25,0.375,-0.125
1388,2024-01-01,200473,200677,1,-99,1,0.944444444444444,0.5,0.444444444444444
1388,2024-01-01,200677,200473,0,99,1,0.25,0.95,-0.7
1389,2024-01-01,208859,106397,1,-646,1,0.5,0.5,0
1389,2024-01-01,106397,208859,0,646,1,0.25,0.583333333333333,-0.333333333333333
1390,2024-01-01,123809,207186,1,-174,1,0.166666666666667,0.5,-0.333333333333333
1390,2024-01-01,207186,123809,0,174,1,0.25,0.375,-0.125
1391,2024-01-01,202358,202122,1,87,1,0.166666666666667,0.5,-0.333333333333333
1391,2024-01-01,202122,202358,0,-87,1,0.25,0.375,-0.125
1392,2024-01-01,200318,200218,1,-8,1,0.642857142857143,0.5,0.142857142857143
1392,2024-01-01,200218,200318,0,8,1,0.25,0.6875,-0.4375
1393,2024-01-01,200587,202127,1,28,1,0.5,0.5,0
1393,2024-01-01,202127,200587,0,-28,1,0.25,0.583333333333333,-0.333333333333333
1394,2024-01-01,144645,208937,1,-488,1,0.166666666666667,0.5,-0.333333333333333
1394,2024-01-01,208937,144645,0,488,1,0.25,0.375,-0.125
1395,2024-01-01,111805,200273,1,-28,1,0.722222222222222,0.5,0.222222222222222
1395,2024-01-01,200273,111805,0,28,1,0.25,0.75,-0.5
1396,2024-01-01,207186,132052,1,-33,1,0.166666666666667,0.5,-0.333333333333333
1396,2024-01-01,132052,207186,0,33,1,0.25,0.375,-0.125
1397,2024-01-01,200473,131905,1,-43,1,0.954545454545455,0.5,0.454545454545455
1397,2024-01-01,131905,200473,0,43,1,0.25,0.958333333333333,-0.708333333333333
1398,2024-01-01,200677,111187,1,72,1,0.166666666666667,0.5,-0.333333333333333
1398,2024-01-01,111187,200677,0,-72,1,0.25,0.375,-0.125
1399,2024-01-01,129911,106071,1,94,1,0.642857142857143,0.5,0.142857142857143
1399,2024-01-01,106071,129911,0,-94,1,0.25,0.6875,-0.4375
1400,2024-01-01,106298,202358,1,31,1,0.772727272727273,0.5,0.272727272727273
1400,2024-01-01,202358,106298,0,-31,1,0.416666666666667,0.791666666666667,-0.375
1401,2024-01-01,111805,200572,1,-101,1,0.772727272727273,0.5,0.272727272727273
1401,2024-01-01,200572,111805,0,101,1,0.25,0.791666666666667,-0.541666666666667
1402,2024-01-01,200273,117361,1,-91,1,0.166666666666667,0.5,-0.333333333333333
1402,2024-01-01,117361,200273,0,91,1,0.25,0.375,-0.125
1403,2024-01-01,132052,200216,1,113,1,0.166666666666667,0.5,-0.333333333333333
1403,2024-01-01,200216,132052,0,-113,1,0.25,0.375,-0.125
1404,2024-01-01,207186,200366,1,-193,1,0.5,0.5,0
1404,2024-01-01,200366,207186,0,193,1,0.25,0.583333333333333,-0.333333333333333
1405,2024-01-01,200473,207788,1,-774,1,0.961538461538462,0.5,0.461538461538462
1405,2024-01-01,207788,200473,0,774,1,0.25,0.964285714285714,-0.714285714285714
1406,2024-01-01,131905,209127,1,-1324,1,0.166666666666667,0.5,-0.333333333333333
1406,2024-01-01,209127,131905,0,1324,1,0.25,0.375,-0.125
1407,2024-01-01,200677,106099,1,91,1,0.5,0.5,0
1407,2024-01-01,106099,200677,0,-91,1,0.25,0.583333333333333,-0.333333333333333
1408,2024-01-01,106071,201903,1,-1350,1,0.166666666666667,0.5,-0.333333333333333
1408,2024-01-01,201903,106071,0,1350,1,0.25,0.375,-0.125
1409,2024-01-01,129911,144985,1,45,1,0.722222222222222,0.5,0.222222222222222
1409,2024-01-01,144985,129911,0,-45,1,0.25,0.75,-0.5
1410,2024-01-01,202358,111788,1,-59,1,0.357142857142857,0.5,-0.142857142857143
1410,2024-01-01,111788,202358,0,59,1,0.25,0.4375,-0.1875
1411,2024-01-01,106298,111181,1,-727,1,0.807692307692308,0.5,0.307692307692308
1411,2024-01-01,111181,106298,0,727,1,0.25,0.821428571428571,-0.571428571428571
1412,2024-01-01,209070,111505,1,-80,1,0.5,0.5,0
1412,2024-01-01,111505,209070,0,80,1,0.25,0.75,-0.5
1413,2024-01-01,111505,133835,1,48,1,0.166666666666667,0.5,-0.333333333333333
1413,2024-01-01,133835,111505,0,-48,1,0.25,0.375,-0.125
1414,2024-01-01,209070,208004,1,-36,1,0.833333333333333,0.5,0.333333333333333
1414,2024-01-01,208004,209070,0,36,1,0.25,0.875,-0.625
1415,2024-01-01,133835,104755,1,86,1,0.166666666666667,0.5,-0.333333333333333
1415,2024-01-01,104755,133835,0,-86,1,0.25,0.375,-0.125
1416,2024-01-01,111505,200384,1,106,1,0.5,0.5,0
1416,2024-01-01,200384,111505,0,-106,1,0.25,0.583333333333333,-0.333333333333333
1417,2024-01-01,209070,105332,1,13,1,0.9,0.5,0.4
1417,2024-01-01,105332,209070,0,-13,1,0.25,0.916666666666667,-0.666666666666667
1418,2024-01-01,208004,207411,1,13,1,0.166666666666667,0.5,-0.333333333333333
1418,2024-01-01,207411,208004,0,-13,1,0.25,0.375,-0.125
1419,2024-01-01,104755,208659,1,-129,1,0.166666666666667,0.5,-0.333333333333333
1419,2024-01-01,208659,104755,0,129,1,0.25,0.375,-0.125
1420,2024-01-01,133835,134457,1,10,1,0.5,0.5,0
1420,2024-01-01,134457,133835,0,-10,1,0.25,0.583333333333333,-0.333333333333333
1421,2024-01-01,200384,208021,1,-110,1,0.166666666666667,0.5,-0.333333333333333
1421,2024-01-01,208021,200384,0,110,1,0.25,0.375,-0.125
1422,2024-01-01,111505,207728,1,-467,1,0.642857142857143,0.5,0.142857142857143
1422,2024-01-01,207728,111505,0,467,1,0.25,0.6875,-0.4375
1423,2024-01-01,209070,200516,1,-61,1,0.928571428571429,0.5,0.428571428571429
1423,2024-01-01,200516,209070,0,61,1,0.25,0.9375,-0.6875
1424,2024-01-01,105332,124040,1,-283,1,0.166666666666667,0.5,-0.333333333333333
1424,2024-01-01,124040,105332,0,283,1,0.25,0.375,-0.125
1425,2024-01-01,207411,208169,1,-8,1,0.166666666666667,0.5,-0.333333333333333
1425,2024-01-01,208169,207411,0,8,1,0.25,0.375,-0.125
1426,2024-01-01,208004,106005,1,79,1,0.5,0.5,0
1426,2024-01-01,106005,208004,0,-79,1,0.25,0.583333333333333,-0.333333333333333
1427,2024-01-01,104755,105011,1,-144,1,0.5,0.5,0
1427,2024-01-01,105011,104755,0,144,1,0.25,0.583333333333333,-0.333333333333333
1428,2024-01-01,208659,106220,1,-2,1,0.166666666666667,0.5,-0.333333333333333
1428,2024-01-01,106220,208659,0,2,1,0.25,0.375,-0.125
1429,2024-01-01,133835,126573,1,-318,1,0.642857142857143,0.5,0.142857142857143
1429,2024-01-01,126573,133835,0,318,1,0.25,0.6875,-0.4375
1430,2024-01-01,134457,123921,1,-37,1,0.166666666666667,0.5,-0.333333333333333
1430,2024-01-01,123921,134457,0,37,1,0.25,0.375,-0.125
1431,2024-01-01,200384,106172,1,-294,1,0.5,0.5,0
1431,2024-01-01,106172,200384,0,294,1,0.25,0.583333333333333,-0.333333333333333
1432,2024-01-01,208021,200024,1,-273,1,0.166666666666667,0.5,-0.333333333333333
1432,2024-01-01,200024,208021,0,273,1,0.25,0.375,-0.125
1433,2024-01-01,207728,126409,1,502,1,0.166666666666667,0.5,-0.333333333333333
1433,2024-01-01,126409,207728,0,-502,1,0.25,0.375,-0.125
1434,2024-01-01,111505,117360,1,60,1,0.722222222222222,0.5,0.222222222222222
1434,2024-01-01,117360,111505,0,-60,1,0.25,0.75,-0.5
1435,2024-01-01,209070,105836,1,-96,1,0.944444444444444,0.5,0.444444444444444
1435,2024-01-01,105836,209070,0,96,1,0.25,0.95,-0.7
1436,2024-01-01,200516,106425,1,-216,1,0.166666666666667,0.5,-0.333333333333333
1436,2024-01-01,106425,200516,0,216,1,0.25,0.375,-0.125
1437,2024-01-01,124040,104907,1,-55,1,0.166666666666667,0.5,-0.333333333333333
1437,2024-01-01,104907,124040,0,55,1,0.25,0.375,-0.125
1438,2024-01-01,105332,144972,1,-116,1,0.5,0.5,0
1438,2024-01-01,144972,105332,0,116,1,0.25,0.583333333333333,-0.333333333333333
1439,2024-01-01,207411,202334,1,-1071,1,0.5,0.5,0
1439,2024-01-01,202334,207411,0,1071,1,0.25,0.583333333333333,-0.333333333333333
1440,2024-01-01,208169,134840,1,-24,1,0.166666666666667,0.5,-0.333333333333333
1440,2024-01-01,134840,208169,0,24,1,0.25,0.375,-0.125
1441,2024-01-01,208004,200259,1,-53,1,0.642857142857143,0.5,0.142857142857143
1441,2024-01-01,200259,208004,0,53,1,0.25,0.6875,-0.4375
1442,2024-01-01,106005,105655,1,-319,1,0.166666666666667,0.5,-0.333333333333333
1442,2024-01-01,105655,106005,0,319,1,0.25,0.375,-0.125
1443,2024-01-01,202334,144915,1,839,1,0.166666666666667,0.5,-0.333333333333333
1443,2024-01-01,144915,202334,0,-839,1,0.25,0.375,-0.125
1444,2024-01-01,105655,106254,1,-458,1,0.166666666666667,0.5,-0.333333333333333
1444,2024-01-01,106254,105655,0,458,1,0.25,0.375,-0.125
1445,2024-01-01,106425,210434,1,-751,1,0.166666666666667,0.5,-0.333333333333333
1445,2024-01-01,210434,106425,0,751,1,0.25,0.375,-0.125
1446,2024-01-01,104907,201987,1,-776,1,0.166666666666667,0.5,-0.333333333333333
1446,2024-01-01,201987,104907,0,776,1,0.25,0.375,-0.125
1447,2024-01-01,207728,126573,1,197,1,0.5,0.166666666666667,0.333333333333333
1447,2024-01-01,126573,207728,0,-197,1,0.125,0.583333333333333,-0.458333333333333
1448,2024-01-01,200024,117359,1,-34,1,0.166666666666667,0.5,-0.333333333333333
1448,2024-01-01,117359,200024,0,34,1,0.25,0.375,-0.125
1449,2024-01-01,202334,133933,1,400,1,0.5,0.5,0
1449,2024-01-01,133933,202334,0,-400,1,0.25,0.583333333333333,-0.333333333333333
1450,2024-01-01,106254,208186,1,-150,1,0.166666666666667,0.5,-0.333333333333333
1450,2024-01-01,208186,106254,0,150,1,0.25,0.375,-0.125
1451,2024-01-01,104907,103175,1,-1045,1,0.5,0.5,0
1451,2024-01-01,103175,104907,0,1045,1,0.25,0.583333333333333,-0.333333333333333
1452,2024-01-01,201987,208055,1,713,1,0.166666666666667,0.5,-0.333333333333333
1452,2024-01-01,208055,201987,0,-713,1,0.25,0.375,-0.125
1453,2024-01-01,117359,208178,1,-806,1,0.166666666666667,0.5,-0.333333333333333
1453,2024-01-01,208178,117359,0,806,1,0.25,0.375,-0.125
1454,2024-01-01,209874,105671,1,-12,1,0.5,0.5,0
1454,2024-01-01,105671,209874,0,12,1,0.25,0.75,-0.5
1455,2024-01-01,105671,106078,1,-30,1,0.166666666666667,0.5,-0.333333333333333
1455,2024-01-01,106078,105671,0,30,1,0.25,0.375,-0.125
1456,2024-01-01,209874,208316,1,48,1,0.833333333333333,0.5,0.333333333333333
1456,2024-01-01,208316,209874,0,-48,1,0.25,0.875,-0.625
1457,2024-01-01,106078,111515,1,44,1,0.166666666666667,0.5,-0.333333333333333
1457,2024-01-01,111515,106078,0,-44,1,0.25,0.375,-0.125
1458,2024-01-01,105671,210262,1,-75,1,0.5,0.5,0
1458,2024-01-01,210262,105671,0,75,1,0.25,0.583333333333333,-0.333333333333333
1459,2024-01-01,208316,106137,1,-33,1,0.166666666666667,0.5,-0.333333333333333
1459,2024-01-01,106137,208316,0,33,1,0.25,0.375,-0.125
1460,2024-01-01,209874,105311,1,75,1,0.9,0.5,0.4
1460,2024-01-01,105311,209874,0,-75,1,0.25,0.916666666666667,-0.666666666666667
1461,2024-01-01,111515,105841,1,35,1,0.166666666666667,0.5,-0.333333333333333
1461,2024-01-01,105841,111515,0,-35,1,0.25,0.375,-0.125
1462,2024-01-01,106078,106288,1,88,1,0.5,0.5,0
1462,2024-01-01,106288,106078,0,-88,1,0.25,0.583333333333333,-0.333333333333333
1463,2024-01-01,105671,117356,1,81,1,0.642857142857143,0.5,0.142857142857143
1463,2024-01-01,117356,105671,0,-81,1,0.25,0.6875,-0.4375
1464,2024-01-01,210262,134068,1,-50,1,0.166666666666667,0.5,-0.333333333333333
1464,2024-01-01,134068,210262,0,50,1,0.25,0.375,-0.125
1465,2024-01-01,208316,202400,1,-247,1,0.5,0.5,0
1465,2024-01-01,202400,208316,0,247,1,0.25,0.583333333333333,-0.333333333333333
1466,2024-01-01,106137,126652,1,-84,1,0.166666666666667,0.5,-0.333333333333333
1466,2024-01-01,126652,106137,0,84,1,0.25,0.375,-0.125
